entidad_name,TotalMujeres,SobrepesoMujeres,TotalHombres,SobrepesoHombres
Aguascalientes,637,540,522,370
"Baja California",528,447,448,297
"Baja California Sur",551,483,478,355
Campeche,701,622,618,424
Chiapas,567,491,550,384
Chihuahua,633,539,463,325
"Ciudad de México",673,541,548,273
Coahuila,516,444,436,313
Colima,602,521,458,337
Durango,598,503,433,316
"Estados de México",644,541,469,308
Guanajuato,746,615,508,290
Guerrero,720,581,470,263
Hidalgo,675,569,508,354
Jalisco,658,542,484,301
Michoacan,698,603,520,345
Morelos,667,573,472,305
Nayarit,659,551,448,297
"Nuevo León",605,523,490,359
Oaxaca,810,630,542,265
Puebla,685,553,432,253
Querétaro,650,547,496,290
"Quintana Roo",663,564,482,316
"San Luis Potosí",693,560,534,300
Sinaloa,512,428,433,298
Sonora,566,493,505,356
Tabasco,706,622,580,400
Tamaulipas,584,508,499,357
Tlaxcala,754,612,537,342
Veracruz,737,618,524,306
Yucatán,700,615,577,377
Zacatecas,617,521,456,290
